DC_PRODUTO,TOKENS,TAGS,text
IPE MADEIRA SERRADA RIPA,"['IPE', 'MADEIRA', 'SERRADA', 'RIPA']","[0, 0, 0, 0]",ipe madeira serrada ripa
SERRADA EM TABUAS (PORTEIRAS),"['SERRADA', 'EM', 'TABUAS', '(PORTEIRAS)']","[0, 0, 0, 0]",serrada em tabuas (porteiras)
PEQUIARANA MADEIRA  SERRADA EM (VIGA),"['PEQUIARANA', 'MADEIRA', 'SERRADA', 'EM', '(VIGA)']","[0, 0, 0, 0, 0]",pequiarana madeira  serrada em (viga)
JATOBA SERRADO SARAFOS,"['JATOBA', 'SERRADO', 'SARAFOS']","[0, 0, 0]",jatoba serrado sarafos
MADEIRA SERRADA (TÁBUA)- DA ESPÉCIE - GOIABÃO,"['MADEIRA', 'SERRADA', '(TÁBUA)-', 'DA', 'ESPÉCIE', '-', 'GOIABÃO']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada (tabua)- da especie - goiabao
BARROTE ANGELIM VERMELHO 6X6CM 4 50M,"['BARROTE', 'ANGELIM', 'VERMELHO', '6X6CM', '4', '50M']","[0, 0, 0, 0, 0, 0]",barrote angelim vermelho 6x6cm 4 50m
CAIXA TP SAPATO 20X20X08,"['CAIXA', 'TP', 'SAPATO', '20X20X08']","[0, 0, 0, 0]",caixa tp sapato 20x20x08
FORQUILHA 3.50,"['FORQUILHA', '3.50']","[0, 0]",forquilha 3.50
MADEIRA SERRADA EM TABUAS DA ESSENCIA CUPIUBA-BRANCA (TAPIRIRA GUIANENSIS AUBL.),"['MADEIRA', 'SERRADA', 'EM', 'TABUAS', 'DA', 'ESSENCIA', 'CUPIUBA-BRANCA', '(TAPIRIRA', 'GUIANENSIS', 'AUBL.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em tabuas da essencia cupiuba-branca (tapirira guianensis aubl.)
PRODUTO ACABADO - PORTA DE CALHA - DA ESPECIE MANDIOQUEIRA-PRETA,"['PRODUTO', 'ACABADO', '-', 'PORTA', 'DE', 'CALHA', '-', 'DA', 'ESPECIE', 'MANDIOQUEIRA-PRETA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",produto acabado - porta de calha - da especie mandioqueira-preta
"LINHA MASSARANDUBA 5 X 9,5 DE 7.00","['LINHA', 'MASSARANDUBA', '5', 'X', '9,5', 'DE', '7.00']","[0, 0, 0, 0, 0, 0, 0]","linha massaranduba 5 x 9,5 de 7.00"
GAIOLA VOADEIRA QUADRADA Nº8 MALHA FINA - FIBRA 1.4,"['GAIOLA', 'VOADEIRA', 'QUADRADA', 'Nº8', 'MALHA', 'FINA', '-', 'FIBRA', '1.4']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",gaiola voadeira quadrada nº8 malha fina - fibra 1.4
"TABUA P/ CONSTR 26 X 2 C/ 1,0M M/PINUS","['TABUA', 'P/', 'CONSTR', '26', 'X', '2', 'C/', '1,0M', 'M/PINUS']","[0, 0, 0, 0, 0, 0, 0, 0, 0]","tabua p/ constr 26 x 2 c/ 1,0m m/pinus"
"CAIBRO MIXTO 7,5MT","['CAIBRO', 'MIXTO', '7,5MT']","[0, 0, 0]","caibro mixto 7,5mt"
"LINHA 3/6 5,00M","['LINHA', '3/6', '5,00M']","[0, 0, 0]","linha 3/6 5,00m"
MADEIRA BENEFICIADA DA ESPECIE POPULAR CASCA SECA EM PORTAS/CALHAS,"['MADEIRA', 'BENEFICIADA', 'DA', 'ESPECIE', 'POPULAR', 'CASCA', 'SECA', 'EM', 'PORTAS/CALHAS']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira beneficiada da especie popular casca seca em portas/calhas
MADEIRA SERRADA (S2S) DA ESPECIE GUAJARA VIGA,"['MADEIRA', 'SERRADA', '(S2S)', 'DA', 'ESPECIE', 'GUAJARA', 'VIGA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada (s2s) da especie guajara viga
MADEIRA SERRADA DA ESPECIE CUPIUBA TIPO VIGA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'CUPIUBA', 'TIPO', 'VIGA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie cupiuba tipo viga
MADEIRA SERRADA EM VGAS DA ESSENCIA JATOBA(HYMENAEA COURBARIL L.),"['MADEIRA', 'SERRADA', 'EM', 'VGAS', 'DA', 'ESSENCIA', 'JATOBA(HYMENAEA', 'COURBARIL', 'L.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em vgas da essencia jatoba(hymenaea courbaril l.)
MADEIRA SERRADA EM VIGAS DA ESSENCIA PEQUI(CARYOCAR MICROCARPUM DUCKE),"['MADEIRA', 'SERRADA', 'EM', 'VIGAS', 'DA', 'ESSENCIA', 'PEQUI(CARYOCAR', 'MICROCARPUM', 'DUCKE)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em vigas da essencia pequi(caryocar microcarpum ducke)
LINHA 5X11 5M,"['LINHA', '5X11', '5M']","[0, 0, 0]",linha 5x11 5m
ABIURANA MADEIRA SERRADA TABUÁ TAÍPA,"['ABIURANA', 'MADEIRA', 'SERRADA', 'TABUÁ', 'TAÍPA']","[0, 0, 0, 0, 0]",abiurana madeira serrada tabua taipa
ANGELIM-VERMELHO - MADEIRA SERRADA EM TABUA,"['ANGELIM-VERMELHO', '-', 'MADEIRA', 'SERRADA', 'EM', 'TABUA']","[0, 0, 0, 0, 0, 0]",angelim-vermelho - madeira serrada em tabua
MELANCIEIRA MAD SERRADA VIGAS,"['MELANCIEIRA', 'MAD', 'SERRADA', 'VIGAS']","[0, 0, 0, 0]",melancieira mad serrada vigas
MADEIRA SERRADA EM VIGAS DA ESSENCIA FAVEIRA(VATAIREA GUIANENSIS AUBL.),"['MADEIRA', 'SERRADA', 'EM', 'VIGAS', 'DA', 'ESSENCIA', 'FAVEIRA(VATAIREA', 'GUIANENSIS', 'AUBL.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em vigas da essencia faveira(vatairea guianensis aubl.)
MADEIRA SERRADA EM CAIBROS DA ESSENCIA JATOBA(HYMENAEA COURBARIL L.),"['MADEIRA', 'SERRADA', 'EM', 'CAIBROS', 'DA', 'ESSENCIA', 'JATOBA(HYMENAEA', 'COURBARIL', 'L.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em caibros da essencia jatoba(hymenaea courbaril l.)
MADEIRA JATOBA ( PRODUTO ACABADO),"['MADEIRA', 'JATOBA', '(', 'PRODUTO', 'ACABADO)']","[0, 0, 0, 0, 0]",madeira jatoba ( produto acabado)
MADEIRA SERRADA DA ESPECIE CUPIUBA TIPO TABUA(TAIPA),"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'CUPIUBA', 'TIPO', 'TABUA(TAIPA)']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie cupiuba tipo tabua(taipa)
GUAJARA PRODUTO ACABADO (PAREDES),"['GUAJARA', 'PRODUTO', 'ACABADO', '(PAREDES)']","[0, 0, 0, 0]",guajara produto acabado (paredes)
"CAIBROS, ESP. MACARANDUBA, MANILKARA HUBERI ( DUCKER ) CHEVALIER","['CAIBROS,', 'ESP.', 'MACARANDUBA,', 'MANILKARA', 'HUBERI', '(', 'DUCKER', ')', 'CHEVALIER']","[0, 0, 0, 0, 0, 0, 0, 0, 0]","caibros, esp. macaranduba, manilkara huberi ( ducker ) chevalier"
FRECHAL MISTO 5X4 7.5 MT,"['FRECHAL', 'MISTO', '5X4', '7.5', 'MT']","[0, 0, 0, 0, 0]",frechal misto 5x4 7.5 mt
ALMESCLAO MADEIRA SERRADA RIPA,"['ALMESCLAO', 'MADEIRA', 'SERRADA', 'RIPA']","[0, 0, 0, 0]",almesclao madeira serrada ripa
"PIQUIA 5,70 X 0,034 X 0,03","['PIQUIA', '5,70', 'X', '0,034', 'X', '0,03']","[0, 0, 0, 0, 0, 0]","piquia 5,70 x 0,034 x 0,03"
"MASSARANDUBA PECA 1,15 X 12 X 0,045","['MASSARANDUBA', 'PECA', '1,15', 'X', '12', 'X', '0,045']","[0, 0, 0, 0, 0, 0, 0]","massaranduba peca 1,15 x 12 x 0,045"
TAXI PRETO SER MAD IND - CAIBRINHOS,"['TAXI', 'PRETO', 'SER', 'MAD', 'IND', '-', 'CAIBRINHOS']","[0, 0, 0, 0, 0, 0, 0]",taxi preto ser mad ind - caibrinhos
PORTA 2.10X0.73 CX DUPLA ANDIROBA,"['PORTA', '2.10X0.73', 'CX', 'DUPLA', 'ANDIROBA']","[0, 0, 0, 0, 0]",porta 2.10x0.73 cx dupla andiroba
TIMBORANA - MADEIRA SERRADA EM TABUA,"['TIMBORANA', '-', 'MADEIRA', 'SERRADA', 'EM', 'TABUA']","[0, 0, 0, 0, 0, 0]",timborana - madeira serrada em tabua
MADEIRA SERRADA EM SARRAFO (CAIBRINHO 3X5) ESPÉCIE ANGELIM VERMELHO,"['MADEIRA', 'SERRADA', 'EM', 'SARRAFO', '(CAIBRINHO', '3X5)', 'ESPÉCIE', 'ANGELIM', 'VERMELHO']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em sarrafo (caibrinho 3x5) especie angelim vermelho
CAIBRO MISTO DE 7.00 MT,"['CAIBRO', 'MISTO', 'DE', '7.00', 'MT']","[0, 0, 0, 0, 0]",caibro misto de 7.00 mt
MADEIRA SERRADA VIGA BREU-SUCURUBA,"['MADEIRA', 'SERRADA', 'VIGA', 'BREU-SUCURUBA']","[0, 0, 0, 0]",madeira serrada viga breu-sucuruba
MADEIRA SERRADA EM  ( PRANCHAO DESDOBRADO ) DA ESSENCIA - MACARANDUBA,"['MADEIRA', 'SERRADA', 'EM', '(', 'PRANCHAO', 'DESDOBRADO', ')', 'DA', 'ESSENCIA', '-', 'MACARANDUBA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em  ( pranchao desdobrado ) da essencia - macaranduba
"VIGA MISTA (6,0X10) GUAJARA SERRADA","['VIGA', 'MISTA', '(6,0X10)', 'GUAJARA', 'SERRADA']","[0, 0, 0, 0, 0]","viga mista (6,0x10) guajara serrada"
MANDIOQUEIRO MADEIRA SERRADA EM VIGA,"['MANDIOQUEIRO', 'MADEIRA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0, 0]",mandioqueiro madeira serrada em viga
MADEIRA SERRADA TÁBUA DE UCUBARANA,"['MADEIRA', 'SERRADA', 'TÁBUA', 'DE', 'UCUBARANA']","[0, 0, 0, 0, 0]",madeira serrada tabua de ucubarana
QUARUBATINGA SERRADA EM TABUAS TAIPA,"['QUARUBATINGA', 'SERRADA', 'EM', 'TABUAS', 'TAIPA']","[0, 0, 0, 0, 0]",quarubatinga serrada em tabuas taipa
"BASE 4 MASTROS EM  MADEIRA, ENVERN, PARA  MESA , COM 4 BANDEIRAS, SENDO: RN, PARAIBA, BRASIL E BANCO BRASIL, COM 13X19CM","['BASE', '4', 'MASTROS', 'EM', 'MADEIRA,', 'ENVERN,', 'PARA', 'MESA', ',', 'COM', '4', 'BANDEIRAS,', 'SENDO:', 'RN,', 'PARAIBA,', 'BRASIL', 'E', 'BANCO', 'BRASIL,', 'COM', '13X19CM']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","base 4 mastros em  madeira, envern, para  mesa , com 4 bandeiras, sendo: rn, paraiba, brasil e banco brasil, com 13x19cm"
BARROTE ANGELIN 5X7,"['BARROTE', 'ANGELIN', '5X7']","[0, 0, 0]",barrote angelin 5x7
GUAJARA 26 - MADEIRA SERRADA CAIBRO,"['GUAJARA', '26', '-', 'MADEIRA', 'SERRADA', 'CAIBRO']","[0, 0, 0, 0, 0, 0]",guajara 26 - madeira serrada caibro
"LINHA 5,0X11,0 6,50M","['LINHA', '5,0X11,0', '6,50M']","[0, 0, 0]","linha 5,0x11,0 6,50m"
CAIXA DE PORTA MONTADA 210X70X13CM,"['CAIXA', 'DE', 'PORTA', 'MONTADA', '210X70X13CM']","[0, 0, 0, 0, 0]",caixa de porta montada 210x70x13cm
SUCUPIRA PRETA SERRADO EM SARRAFOS,"['SUCUPIRA', 'PRETA', 'SERRADO', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0]",sucupira preta serrado em sarrafos
LINHA EM MADEIRA 3 X 5,"['LINHA', 'EM', 'MADEIRA', '3', 'X', '5']","[0, 0, 0, 0, 0, 0]",linha em madeira 3 x 5
GARAPA SERRADA EM SARRAFO - AMARRADOS,"['GARAPA', 'SERRADA', 'EM', 'SARRAFO', '-', 'AMARRADOS']","[0, 0, 0, 0, 0, 0]",garapa serrada em sarrafo - amarrados
MADEIRA SERRADA EM VIGAS DA ESSENCIA AMESCLA (PROTIUM BRASILIENSE (SPRENG.) ENGL.),"['MADEIRA', 'SERRADA', 'EM', 'VIGAS', 'DA', 'ESSENCIA', 'AMESCLA', '(PROTIUM', 'BRASILIENSE', '(SPRENG.)', 'ENGL.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em vigas da essencia amescla (protium brasiliense (spreng.) engl.)
VIRGA DE 1.20,"['VIRGA', 'DE', '1.20']","[0, 0, 0]",virga de 1.20
QUARUBA SERRADO VIGA- ( CLASS 28),"['QUARUBA', 'SERRADO', 'VIGA-', '(', 'CLASS', '28)']","[0, 0, 0, 0, 0, 0]",quaruba serrado viga- ( class 28)
LINHA MACARANDUBA SERRADA,"['LINHA', 'MACARANDUBA', 'SERRADA']","[0, 0, 0]",linha macaranduba serrada
MADEIRA SERRADA DA ESPECIE FREIJO TIPO VIGA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'FREIJO', 'TIPO', 'VIGA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie freijo tipo viga
TANIBUCA SERRADO EM RIPAS,"['TANIBUCA', 'SERRADO', 'EM', 'RIPAS']","[0, 0, 0, 0]",tanibuca serrado em ripas
FRECHAL ANGELIN - MT,"['FRECHAL', 'ANGELIN', '-', 'MT']","[0, 0, 0, 0]",frechal angelin - mt
MADEIRA SERRADA SUMAUNA VERMELHA (LINHA)15X6,"['MADEIRA', 'SERRADA', 'SUMAUNA', 'VERMELHA', '(LINHA)15X6']","[0, 0, 0, 0, 0]",madeira serrada sumauna vermelha (linha)15x6
"LINHA GUAJARA 5X1,0CM","['LINHA', 'GUAJARA', '5X1,0CM']","[0, 0, 0]","linha guajara 5x1,0cm"
MAD. ESP. MACARANDBA SERRADA EM TABUA VIGOTA,"['MAD.', 'ESP.', 'MACARANDBA', 'SERRADA', 'EM', 'TABUA', 'VIGOTA']","[0, 0, 0, 0, 0, 0, 0]",mad. esp. macarandba serrada em tabua vigota
"LINHA ANGELIM 5X9 4,5 MT","['LINHA', 'ANGELIM', '5X9', '4,5', 'MT']","[0, 0, 0, 0, 0]","linha angelim 5x9 4,5 mt"
"PORTA JATOBA LAMBRI BL SEL 80 X 2,10","['PORTA', 'JATOBA', 'LAMBRI', 'BL', 'SEL', '80', 'X', '2,10']","[0, 0, 0, 0, 0, 0, 0, 0]","porta jatoba lambri bl sel 80 x 2,10"
MADEIRA SERRADA EM SARRAFOS DA ESPECIE DE GUAJARA - POUTERIA VENOSA SUBSP. AMAZONICA T.D.PENN.,"['MADEIRA', 'SERRADA', 'EM', 'SARRAFOS', 'DA', 'ESPECIE', 'DE', 'GUAJARA', '-', 'POUTERIA', 'VENOSA', 'SUBSP.', 'AMAZONICA', 'T.D.PENN.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em sarrafos da especie de guajara - pouteria venosa subsp. amazonica t.d.penn.
"CAIBRO 7,5M (4X5)","['CAIBRO', '7,5M', '(4X5)']","[0, 0, 0]","caibro 7,5m (4x5)"
MADEIRA SERRADA EM SARRAFOS DA ESSENCIA - ANGELIM,"['MADEIRA', 'SERRADA', 'EM', 'SARRAFOS', 'DA', 'ESSENCIA', '-', 'ANGELIM']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em sarrafos da essencia - angelim
MADEIRA SERRADA DA ESPECIE POPULAR GUAJARA EM RIPA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'POPULAR', 'GUAJARA', 'EM', 'RIPA']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie popular guajara em ripa
MUIRACATIARA SERRADO VIGOTA,"['MUIRACATIARA', 'SERRADO', 'VIGOTA']","[0, 0, 0]",muiracatiara serrado vigota
MADEIRA SERRADA EM PRANCHÃO DESDOBRADOS DA ESSENCIA JATOBA (HYMENAEA COURBARIL L.),"['MADEIRA', 'SERRADA', 'EM', 'PRANCHÃO', 'DESDOBRADOS', 'DA', 'ESSENCIA', 'JATOBA', '(HYMENAEA', 'COURBARIL', 'L.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em pranchao desdobrados da essencia jatoba (hymenaea courbaril l.)
BARROTE 5X6 GUAJARA 5.00MT,"['BARROTE', '5X6', 'GUAJARA', '5.00MT']","[0, 0, 0, 0]",barrote 5x6 guajara 5.00mt
JATOBA SERRADO RIPAS (CLASS.2877),"['JATOBA', 'SERRADO', 'RIPAS', '(CLASS.2877)']","[0, 0, 0, 0]",jatoba serrado ripas (class.2877)
"LINHA ANGELIM 5X18 3,50 MTS","['LINHA', 'ANGELIM', '5X18', '3,50', 'MTS']","[0, 0, 0, 0, 0]","linha angelim 5x18 3,50 mts"
RIPA NORMAL 5X1,"['RIPA', 'NORMAL', '5X1']","[0, 0, 0]",ripa normal 5x1
PORTA 2.10X0.70 CX DUPLA COMPLETA,"['PORTA', '2.10X0.70', 'CX', 'DUPLA', 'COMPLETA']","[0, 0, 0, 0, 0]",porta 2.10x0.70 cx dupla completa
PRODUTO ACABADO - PORTAIS/ANGELIM-PEDRA,"['PRODUTO', 'ACABADO', '-', 'PORTAIS/ANGELIM-PEDRA']","[0, 0, 0, 0]",produto acabado - portais/angelim-pedra
LINHA MASSARANDUBA DE 30,"['LINHA', 'MASSARANDUBA', 'DE', '30']","[0, 0, 0, 0]",linha massaranduba de 30
MADEIRA DA ESPECIE QUARUBA-CEDRO(VOCHYSIA INUNDATA DUCKE),"['MADEIRA', 'DA', 'ESPECIE', 'QUARUBA-CEDRO(VOCHYSIA', 'INUNDATA', 'DUCKE)']","[0, 0, 0, 0, 0, 0]",madeira da especie quaruba-cedro(vochysia inundata ducke)
MADEIRA SERRADA - SARRAFO - ANGELIM VERMELHO,"['MADEIRA', 'SERRADA', '-', 'SARRAFO', '-', 'ANGELIM', 'VERMELHO']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada - sarrafo - angelim vermelho
"TABUA PINUS 20,0X2,0CM 3,0M","['TABUA', 'PINUS', '20,0X2,0CM', '3,0M']","[0, 0, 0, 0]","tabua pinus 20,0x2,0cm 3,0m"
FAVA-ALBIZIA CORYMBOSA(RICH.)LEWIS&P.E.OWEN-SERRADA EM RIPA,"['FAVA-ALBIZIA', 'CORYMBOSA(RICH.)LEWIS&P.E.OWEN-SERRADA', 'EM', 'RIPA']","[0, 0, 0, 0]",fava-albizia corymbosa(rich.)lewis&p.e.owen-serrada em ripa
MADEIRA SERRADA DA ESPECIE JARANA TIPO VIGA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'JARANA', 'TIPO', 'VIGA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie jarana tipo viga
"RIPAO MISTO 2,5X5CM C/3M","['RIPAO', 'MISTO', '2,5X5CM', 'C/3M']","[0, 0, 0, 0]","ripao misto 2,5x5cm c/3m"
"LINHA MIX 5X10 1,5MT","['LINHA', 'MIX', '5X10', '1,5MT']","[0, 0, 0, 0]","linha mix 5x10 1,5mt"
JANELAO 60 X 60 ANDIROBA CXS,"['JANELAO', '60', 'X', '60', 'ANDIROBA', 'CXS']","[0, 0, 0, 0, 0, 0]",janelao 60 x 60 andiroba cxs
FAVEIRA SERRADA EM VIGOTA,"['FAVEIRA', 'SERRADA', 'EM', 'VIGOTA']","[0, 0, 0, 0]",faveira serrada em vigota
KIT ESCRITORIO DE MESA C/ GAVETA 21CM,"['KIT', 'ESCRITORIO', 'DE', 'MESA', 'C/', 'GAVETA', '21CM']","[0, 0, 0, 0, 0, 0, 0]",kit escritorio de mesa c/ gaveta 21cm
PORTA ALMOFADINHA 2.10X64,"['PORTA', 'ALMOFADINHA', '2.10X64']","[0, 0, 0]",porta almofadinha 2.10x64
MANILKARA HUBERI (DUCKE) CHEVALIER - MAÇARANDUBA - 24- PRANCHA,"['MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER', '-', 'MAÇARANDUBA', '-', '24-', 'PRANCHA']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",manilkara huberi (ducke) chevalier - macaranduba - 24- prancha
LINHA 5X12CM ANGELIM,"['LINHA', '5X12CM', 'ANGELIM']","[0, 0, 0]",linha 5x12cm angelim
PRODUTO ACABADO - PORTAIS - DA ESPECIE JATOBA,"['PRODUTO', 'ACABADO', '-', 'PORTAIS', '-', 'DA', 'ESPECIE', 'JATOBA']","[0, 0, 0, 0, 0, 0, 0, 0]",produto acabado - portais - da especie jatoba
MADEIRA BENEFICIADA DA ESPECIE POPULAR FAVEIRA EM PORTAIS APLAINADA EM S4S,"['MADEIRA', 'BENEFICIADA', 'DA', 'ESPECIE', 'POPULAR', 'FAVEIRA', 'EM', 'PORTAIS', 'APLAINADA', 'EM', 'S4S']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira beneficiada da especie popular faveira em portais aplainada em s4s
MADEIRA SERRADA - SARRAFO - ANGELIM-FERRO,"['MADEIRA', 'SERRADA', '-', 'SARRAFO', '-', 'ANGELIM-FERRO']","[0, 0, 0, 0, 0, 0]",madeira serrada - sarrafo - angelim-ferro
LINHA ANGELIM VERMELHO 5X9 7 0M,"['LINHA', 'ANGELIM', 'VERMELHO', '5X9', '7', '0M']","[0, 0, 0, 0, 0, 0]",linha angelim vermelho 5x9 7 0m
"LINHA MASS 5 X 28 - 9,00","['LINHA', 'MASS', '5', 'X', '28', '-', '9,00']","[0, 0, 0, 0, 0, 0, 0]","linha mass 5 x 28 - 9,00"
"PORTA JATOBA LAMBRI 1,00 X 2,10 COM CAIXA PIV","['PORTA', 'JATOBA', 'LAMBRI', '1,00', 'X', '2,10', 'COM', 'CAIXA', 'PIV']","[0, 0, 0, 0, 0, 0, 0, 0, 0]","porta jatoba lambri 1,00 x 2,10 com caixa piv"
"MAO FRANCESA MASS LINHA 5 X 9 - 1,00","['MAO', 'FRANCESA', 'MASS', 'LINHA', '5', 'X', '9', '-', '1,00']","[0, 0, 0, 0, 0, 0, 0, 0, 0]","mao francesa mass linha 5 x 9 - 1,00"
"LINHA (5X13) 6,00MT ANGELIM","['LINHA', '(5X13)', '6,00MT', 'ANGELIM']","[0, 0, 0, 0]","linha (5x13) 6,00mt angelim"
GOUPIA GLABRA AUBL.-CUPIUBA-64-SARRAFOS,"['GOUPIA', 'GLABRA', 'AUBL.-CUPIUBA-64-SARRAFOS']","[0, 0, 0]",goupia glabra aubl.-cupiuba-64-sarrafos
EMBIRA-PRETA MADEIRA SERRADA EM RIPAS,"['EMBIRA-PRETA', 'MADEIRA', 'SERRADA', 'EM', 'RIPAS']","[0, 0, 0, 0, 0]",embira-preta madeira serrada em ripas
SARRAFO DE JATOBA,"['SARRAFO', 'DE', 'JATOBA']","[0, 0, 0]",sarrafo de jatoba
MADEIRA SERRADA DE JATOBA -TIPO PRANCHA,"['MADEIRA', 'SERRADA', 'DE', 'JATOBA', '-TIPO', 'PRANCHA']","[0, 0, 0, 0, 0, 0]",madeira serrada de jatoba -tipo prancha
GUAJARA MADEIRA SERRADA EM ( PRANCHA ),"['GUAJARA', 'MADEIRA', 'SERRADA', 'EM', '(', 'PRANCHA', ')']","[0, 0, 0, 0, 0, 0, 0]",guajara madeira serrada em ( prancha )
MADEIRA SERRADA DA ESPECIE QUARUBATINGA TIPO SARRAFOS,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'QUARUBATINGA', 'TIPO', 'SARRAFOS']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie quarubatinga tipo sarrafos
"LINHA MASSA 5,0X25 6,0MT","['LINHA', 'MASSA', '5,0X25', '6,0MT']","[0, 0, 0, 0]","linha massa 5,0x25 6,0mt"
MADEIRA BENEFICIADA ( PORTAIS ) DA ESPECIE MACARANDUBA,"['MADEIRA', 'BENEFICIADA', '(', 'PORTAIS', ')', 'DA', 'ESPECIE', 'MACARANDUBA']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira beneficiada ( portais ) da especie macaranduba
ANGELIM  SERRADO (SARRAFO),"['ANGELIM', 'SERRADO', '(SARRAFO)']","[0, 0, 0]",angelim  serrado (sarrafo)
UXIRANA SERRADO VIGA,"['UXIRANA', 'SERRADO', 'VIGA']","[0, 0, 0]",uxirana serrado viga
"MOURAO DE EUC. IMUNIZADO 5,0 M - 08/10","['MOURAO', 'DE', 'EUC.', 'IMUNIZADO', '5,0', 'M', '-', '08/10']","[0, 0, 0, 0, 0, 0, 0, 0]","mourao de euc. imunizado 5,0 m - 08/10"
MACARANDUBA MADEIRA SERRADA EM PRANCHAO,"['MACARANDUBA', 'MADEIRA', 'SERRADA', 'EM', 'PRANCHAO']","[0, 0, 0, 0, 0]",macaranduba madeira serrada em pranchao
ABIURANA MADEIRA SERRADA EM  (PRANCHA)),"['ABIURANA', 'MADEIRA', 'SERRADA', 'EM', '(PRANCHA))']","[0, 0, 0, 0, 0]",abiurana madeira serrada em  (prancha))
CAPELA 13689 G A LASER,"['CAPELA', '13689', 'G', 'A', 'LASER']","[0, 0, 0, 0, 0]",capela 13689 g a laser
"PARAFUSO FRANCES 4"" 5 X 16 COM POLCA","['PARAFUSO', 'FRANCES', '4""', '5', 'X', '16', 'COM', 'POLCA']","[0, 0, 0, 0, 0, 0, 0, 0]","parafuso frances 4"" 5 x 16 com polca"
MADEIRA BENEFICIADA EM DECKING DA ESSENCIA - CUMARU,"['MADEIRA', 'BENEFICIADA', 'EM', 'DECKING', 'DA', 'ESSENCIA', '-', 'CUMARU']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira beneficiada em decking da essencia - cumaru
LINHA 20X5.5 MACARANDUBA 6.0MT,"['LINHA', '20X5.5', 'MACARANDUBA', '6.0MT']","[0, 0, 0, 0]",linha 20x5.5 macaranduba 6.0mt
LINHA MASSARANDUBA 5 X 10 DE 7.00,"['LINHA', 'MASSARANDUBA', '5', 'X', '10', 'DE', '7.00']","[0, 0, 0, 0, 0, 0, 0]",linha massaranduba 5 x 10 de 7.00
MISTA VIGOTA (MAPARAJUBA),"['MISTA', 'VIGOTA', '(MAPARAJUBA)']","[0, 0, 0]",mista vigota (maparajuba)
VIGA MISTA MADEIRA SERRADA,"['VIGA', 'MISTA', 'MADEIRA', 'SERRADA']","[0, 0, 0, 0]",viga mista madeira serrada
MANILKARA HUBERI (DUCKE) CHEVALIER- MAÇARANDUBA-24-PRANCHA,"['MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER-', 'MAÇARANDUBA-24-PRANCHA']","[0, 0, 0, 0, 0]",manilkara huberi (ducke) chevalier- macaranduba-24-prancha
TIMBORANA SERRADA TAIPA,"['TIMBORANA', 'SERRADA', 'TAIPA']","[0, 0, 0]",timborana serrada taipa
JUTAI-MIRIM SERRADA VIGA,"['JUTAI-MIRIM', 'SERRADA', 'VIGA']","[0, 0, 0]",jutai-mirim serrada viga
